,GME,GME,GME,GME,GME
,open,high,low,close,volume
Date,,,,,
2018-05-21,12.52,12.885,12.49,12.765,4690915
2018-05-22,12.78,12.91,12.54,12.615,4030010
2018-05-23,12.54,12.75,12.44,12.71,2822301
2018-05-24,12.58,12.78,12.45,12.73,2678786
2018-05-25,12.75,12.8,12.58,12.64,2170417
2018-05-29,12.58,13.11,12.55,13.06,3681120
2018-05-30,13.1,13.6,12.89,13.44,4463026
2018-05-31,13.48,13.59,12.97,13.195,5354455
2018-06-01,12.8,13.71,12.79,13.7,8704318
2018-06-04,13.79,14.25,13.44,14.24,6450029
2018-06-05,14.24,14.65,14.0,14.6,5131080
2018-06-06,14.68,14.69,14.25,14.42,4711734
2018-06-07,14.5,14.65,14.3674,14.49,2826443
2018-06-08,14.53,14.62,14.405,14.53,3176680
2018-06-11,14.15,14.33,14.06,14.285,4143704
2018-06-12,14.32,14.37,14.05,14.05,2936080
2018-06-13,13.97,13.97,13.05,13.34,8004053
2018-06-14,13.3,13.32,12.7,12.82,6844226
2018-06-15,12.76,14.36,12.76,13.93,11607330
2018-06-18,13.95,15.78,13.37,15.21,22586490
2018-06-19,15.37,15.76,15.1,15.76,8717442
2018-06-20,15.71,15.81,15.32,15.7,4491870
2018-06-21,15.81,15.98,15.49,15.52,3005385
2018-06-22,15.55,15.685,15.11,15.56,3323160
2018-06-25,15.41,15.72,14.94,15.1146,2325907
2018-06-26,15.19,15.2,14.69,14.97,2120882
2018-06-27,15.0,15.17,14.58,14.61,1835913
2018-06-28,14.59,14.89,14.49,14.89,1493627
2018-06-29,14.99,15.07,14.51,14.58,2728641
2018-07-02,14.59,14.7,14.03,14.15,3093284
2018-07-03,14.17,14.31,14.0,14.04,1101553
2018-07-05,14.08,14.7,14.04,14.64,3348475
2018-07-06,14.67,15.23,14.64,15.145,3579030
2018-07-09,15.57,15.625,15.165,15.46,3320884
2018-07-10,15.53,15.54,14.81,14.86,2553459
2018-07-11,14.85,14.85,14.46,14.69,1900874
2018-07-12,14.75,15.12,14.74,15.08,1663761
2018-07-13,14.99,15.46,14.99,15.29,1997509
2018-07-16,15.27,15.38,15.055,15.23,1540164
2018-07-17,15.17,15.42,14.54,14.58,2640967
2018-07-18,14.6,14.65,14.315,14.57,1746178
2018-07-19,14.58,15.03,14.5,14.92,1475748
2018-07-20,14.91,15.21,14.88,15.1,1866569
2018-07-23,15.05,15.09,14.78,14.89,1473965
2018-07-24,14.98,14.98,14.66,14.79,1246972
2018-07-25,14.69,14.704,14.25,14.51,3020757
2018-07-26,14.51,15.04,14.5,14.82,1379020
2018-07-27,14.91,14.97,14.55,14.83,1138298
2018-07-30,14.88,14.98,14.59,14.7,1333154
2018-07-31,14.72,14.73,14.41,14.41,1527880
2018-08-01,14.42,14.88,14.4,14.73,1761067
2018-08-02,14.61,14.775,14.41,14.63,1579132
2018-08-03,14.69,14.9,14.6,14.85,2285174
2018-08-06,14.88,14.98,14.74,14.86,1853660
2018-08-07,14.92,15.215,14.82,15.12,1721723
2018-08-08,15.12,15.315,15.01,15.25,1933984
2018-08-09,15.25,15.46,14.98,15.21,2109556
2018-08-10,15.18,15.6,15.1,15.32,2102152
2018-08-13,15.35,15.38,15.11,15.21,1866240
2018-08-14,15.27,15.57,15.195,15.495,1728625
2018-08-15,15.46,15.495,15.19,15.42,1833967
2018-08-16,15.54,15.56,15.215,15.22,1498791
2018-08-17,15.17,15.35,14.99,15.33,1359390
2018-08-20,15.4,15.98,15.35,15.85,3073760
2018-08-21,15.99,16.57,15.825,16.49,4666630
2018-08-22,16.51,17.27,16.51,16.98,6037594
2018-08-23,16.98,17.21,16.62,16.76,3156131
2018-08-24,16.76,16.8398,16.2,16.55,4209492
2018-08-27,16.47,16.5,14.55,14.7001,13796801
2018-08-28,14.71,14.75,14.0,14.03,6327488
2018-08-29,14.14,14.3,13.75,14.125,3564391
2018-08-30,13.99,13.99,13.52,13.61,3451416
2018-08-31,13.61,13.63,13.18,13.26,3287549
2018-09-04,13.17,14.1,13.08,14.04,5420845
2018-09-05,13.97,16.53,13.96,16.26,16272670
2018-09-06,16.15,16.25,15.08,16.21,5997055
2018-09-07,15.25,16.38,14.76,16.13,6179504
2018-09-10,16.16,16.35,15.87,15.99,2224394
2018-09-11,16.0,16.6001,16.0,16.16,2439140
2018-09-12,16.17,16.76,16.17,16.655,2989434
2018-09-13,16.71,17.04,16.61,17.03,2933985
2018-09-14,16.97,17.0,16.465,16.79,2081298
2018-09-17,16.71,16.86,16.5,16.6,1812537
2018-09-18,16.42,16.68,16.345,16.5,1495398
2018-09-19,16.5,16.8,16.45,16.6,1398266
2018-09-20,16.6,16.81,16.45,16.48,1284001
2018-09-21,16.45,16.75,16.435,16.51,1886342
2018-09-24,16.42,16.42,15.49,15.52,3197716
2018-09-25,15.64,16.09,15.3,16.01,1721170
2018-09-26,16.14,16.14,15.535,15.59,1580542
2018-09-27,15.68,15.75,15.425,15.56,1669599
2018-09-28,15.54,15.8485,15.19,15.27,2149541
2018-10-01,15.28,15.54,14.98,15.28,2766757
2018-10-02,15.17,15.31,14.84,14.88,2366139
2018-10-03,15.0,15.17,14.75,14.92,1737829
2018-10-04,14.97,15.12,14.715,14.82,1191141
2018-10-05,14.83,14.93,14.58,14.68,1758641
2018-10-08,14.71,15.19,14.66,14.98,2022984
2018-10-09,14.93,15.4499,14.7,14.77,2071016
2018-10-10,14.81,15.17,14.81,14.83,1689883
2018-10-11,14.79,15.1,14.65,14.66,1728549
2018-10-12,14.9,15.15,14.7,14.82,1569271
2018-10-15,14.81,15.0699,14.78,14.88,1296308
2018-10-16,14.97,15.3,14.7752,15.29,1717002
2018-10-17,15.29,15.48,14.78,15.34,1721827
2018-10-18,15.3,15.42,14.9,15.065,1290428
2018-10-19,14.87,15.0,14.47,14.74,2650652
2018-10-22,14.82,15.22,14.69,15.12,2036090
2018-10-23,14.97,15.31,14.7899,15.27,2077439
2018-10-24,15.3,15.6,15.08,15.08,1895204
2018-10-25,15.12,15.2,14.28,14.43,1824846
2018-10-26,14.43,14.43,13.64,13.7199,1972851
2018-10-29,13.84,14.955,13.77,14.52,2742802
2018-10-30,14.57,15.1106,14.4,14.67,1789842
2018-10-31,14.81,14.82,14.2627,14.6,1130573
2018-11-01,14.61,15.35,14.6,15.34,2314662
2018-11-02,15.42,15.755,15.19,15.61,1393530
2018-11-05,15.55,15.56,14.89,14.99,1570567
2018-11-06,14.95,15.05,14.83,14.94,1773092
2018-11-07,15.0,15.05,14.65,14.89,1834542
2018-11-08,14.9,15.02,14.78,14.86,1885351
2018-11-09,14.72,14.8,14.315,14.64,1349094
2018-11-12,14.66,14.78,13.86,13.89,1953686
2018-11-13,13.9,14.175,13.78,13.89,1945067
2018-11-14,14.09,14.11,12.88,12.96,3231039
2018-11-15,12.96,13.25,12.77,13.14,2832242
2018-11-16,12.99,12.99,12.45,12.79,5251871
2018-11-19,12.84,13.16,12.77,13.03,3153157
2018-11-20,12.6,12.905,12.14,12.3,5807057
2018-11-21,12.47,14.5,12.305,13.69,12120692
2018-11-23,13.7,13.81,13.16,13.51,2480593
2018-11-26,13.99,14.78,13.9875,14.57,5362178
2018-11-27,14.39,14.97,14.2,14.73,4127232
2018-11-28,14.72,15.065,14.72,15.03,2351314
2018-11-29,15.05,15.22,14.54,14.67,3324887
2018-11-30,12.99,13.96,12.8,13.66,10922362
2018-12-03,13.82,13.98,13.53,13.86,3625265
2018-12-04,13.99,14.11,13.44,13.495,3336271
2018-12-06,13.5,13.77,13.24,13.54,2923567
2018-12-07,13.55,14.04,13.5,13.68,3127968
2018-12-10,13.38,13.44,12.83,13.22,2519024
2018-12-11,13.35,13.4,12.8504,12.94,2104005
2018-12-12,13.06,13.53,12.98,13.24,1530327
2018-12-13,13.24,13.36,12.67,12.785,2222578
2018-12-14,12.69,13.0,12.69,12.77,1414639
2018-12-17,12.66,13.1028,12.55,12.66,1920514
2018-12-18,12.65,13.025,12.61,12.72,2364985
2018-12-19,12.76,12.975,12.523,12.6,2243920
2018-12-20,12.6,12.96,12.21,12.42,2432281
2018-12-21,12.39,12.68,11.765,11.96,2911118
2018-12-24,11.97,12.02,11.64,11.67,1243569
2018-12-26,11.72,12.39,11.56,12.39,2074922
2018-12-27,12.24,12.25,11.63,12.18,1585662
2018-12-28,12.21,12.49,12.01,12.245,1757590
2018-12-31,12.33,12.67,12.305,12.6,2390682
2019-01-02,12.45,13.18,12.42,13.07,1674171
2019-01-03,12.98,13.255,12.69,13.005,1512393
2019-01-04,14.03,15.29,13.7,15.225,10628297
2019-01-07,15.11,15.81,14.94,15.45,4298026
2019-01-08,15.5,15.885,15.15,15.82,3146098
2019-01-09,15.84,16.39,15.72,15.97,3219626
2019-01-10,15.74,16.0,15.52,15.94,2717426
2019-01-11,15.86,16.05,15.765,15.82,2257869
2019-01-14,15.84,16.14,15.57,15.625,3334514
2019-01-15,15.6,15.64,15.19,15.525,1951485
2019-01-16,15.57,15.89,15.38,15.68,1740868
