Date,gamestock,gamestonk,gme,r/wallstreetbets,Total Tweets
1/01/2021,1,0,344,40,385
1/02/2021,0,0,289,62,351
1/03/2021,1,0,328,51,380
1/04/2021,1,0,557,80,638
1/05/2021,0,0,673,57,730
1/06/2021,2,0,690,116,808
1/07/2021,3,0,438,158,599
1/08/2021,3,0,507,135,645
1/09/2021,126,0,313,106,545
1/10/2021,477,0,331,80,888
1/11/2021,122,0,"1,264",159,1545
1/12/2021,44,0,610,101,755
1/13/2021,121,4,"5,352",319,5796
1/14/2021,109,0,"4,503",224,4836
1/15/2021,70,0,"3,043",283,3396
1/16/2021,165,0,"1,094",303,1562
1/17/2021,219,0,"1,116",111,1446
1/18/2021,1,0,"1,507",235,1743
1/19/2021,1,0,"4,417",233,4651
1/20/2021,0,1,"3,481",294,3776
1/21/2021,1,1,"5,335",232,5569
1/22/2021,23,2,"21,535",858,22418
1/23/2021,6,1,"8,052",624,8683
1/24/2021,5,1,"5,518",398,5922
1/25/2021,35,24,"44,652","3,660",48371
1/26/2021,266,"17,147","81,267","23,046",121726
1/27/2021,"3,151","13,757","280,009","49,997",346914
1/28/2021,"9,901","27,724","1,044,462","80,545",1162632
1/29/2021,"4,479","27,983","466,036","26,120",524618
1/30/2021,"1,570","12,487","176,153","31,412",221622
1/31/2021,631,"5,679","111,316","18,664",136290
2/01/2021,581,"4,988","155,941","11,883",173393
2/02/2021,756,"2,786","140,150","10,116",153808
2/03/2021,477,"1,796","56,212","3,788",62273
2/04/2021,281,"1,796","44,134","2,402",48613
2/05/2021,208,"1,196","40,274","1,889",43567
2/06/2021,87,358,"14,791","1,028",16264
2/07/2021,102,330,"12,334","1,388",14154
2/08/2021,468,390,"15,881","1,603",18342
2/09/2021,70,351,"13,665",950,15036
2/10/2021,88,418,"16,935","1,166",18607
2/11/2021,43,294,"12,336",969,13642
2/12/2021,31,396,"9,427",658,10512
2/13/2021,57,159,"5,535",447,6198
2/14/2021,551,232,"4,841",511,6135
2/15/2021,339,121,"4,884",505,5849
2/16/2021,168,156,"6,923",827,8074
2/17/2021,246,177,"9,453",667,10543
2/18/2021,715,616,"19,203","1,083",21617
2/19/2021,199,283,"9,458",880,10820
2/20/2021,292,149,"4,918",902,6261
2/21/2021,338,122,"4,094",819,5373
2/22/2021,35,152,"6,784",715,7686
2/23/2021,31,113,"6,770",682,7596
2/24/2021,132,"1,103","61,794",981,64010
2/25/2021,790,"1,200","68,551","1,952",72493
2/26/2021,73,352,"26,466","1,183",28074
2/27/2021,42,109,"8,513",605,9269
2/28/2021,16,103,"6,743",711,7573
3/01/2021,20,331,"13,900",661,14912
3/02/2021,24,209,"13,102",615,13950
3/03/2021,141,140,"11,670",722,12673
3/04/2021,36,153,"13,641",698,14528
3/05/2021,29,139,"15,420",559,16147
3/06/2021,9,139,"5,839",473,6460
3/07/2021,44,135,"4,535",401,5115
3/08/2021,26,370,"18,957",670,20023
3/09/2021,90,313,"21,789",713,22905
3/10/2021,85,636,"45,830",904,47455
3/11/2021,31,265,"20,258",856,21410
3/12/2021,26,170,"15,256",700,16152
3/13/2021,20,117,"6,218",492,6847
3/14/2021,7,101,"6,774",875,7757
3/15/2021,13,228,"14,076",573,14890
3/16/2021,19,224,"13,569",687,14499
3/17/2021,13,119,"12,596",545,13273
3/18/2021,4,128,"9,848",533,10513
3/19/2021,9,123,"11,675",470,12277
3/20/2021,6,104,"5,096",315,5521
3/21/2021,13,53,"5,283",262,5611
3/22/2021,10,75,"8,838",353,9276
3/23/2021,35,160,"15,335",464,15994
3/24/2021,24,162,"17,729","1,039",18954
3/25/2021,22,148,"25,442",623,26235
3/26/2021,25,126,"15,941",544,16636
3/27/2021,6,84,"5,558",304,5952
3/28/2021,7,82,"5,164",498,5751
3/29/2021,1,71,"9,616",446,10134
3/30/2021,9,56,"11,561",383,12009
3/31/2021,7,44,"10,144",383,10578
4/01/2021,8,46,"9,078",264,9396
4/02/2021,7,29,"5,322",295,5653
4/03/2021,2,32,"4,559",125,4718
4/04/2021,3,53,"4,462",230,4748
4/05/2021,7,75,"10,296",355,10733
4/06/2021,21,110,"7,525",275,7931
4/07/2021,3,76,"8,287",312,8678
4/08/2021,9,66,"10,297",366,10738
4/09/2021,9,68,"8,786",488,9351
4/10/2021,3,52,"4,807",243,5105
4/11/2021,5,22,"3,404",283,3714
4/12/2021,6,124,"12,463",286,12879
4/13/2021,8,54,"10,632",418,11112
4/14/2021,8,61,"11,496",401,11966
4/15/2021,13,87,"8,502","1,121",9723
4/16/2021,15,81,"13,935",726,14757
4/17/2021,9,51,"5,937",526,6523
4/18/2021,5,49,"6,299",307,6660
4/19/2021,2,37,"10,678",335,11052
4/20/2021,6,39,"9,225",297,9567
4/21/2021,10,34,"8,381",249,8674
4/22/2021,9,54,"8,625",358,9046
4/23/2021,4,29,"8,198",250,8481
4/24/2021,0,36,"4,222",326,4584
4/25/2021,3,25,"4,046",304,4378
4/26/2021,7,"1,656","11,757",378,13798
4/27/2021,8,"1,131","17,511",316,18966
4/28/2021,5,142,"8,857",280,9284
4/29/2021,3,79,"8,759",249,9090
4/30/2021,2,73,"9,451",371,9897
