Date,gamestock,gamestonk,gme,r/wallstreetbets,total_tweets
5/21/2018,0,0,267,34,301
5/22/2018,1,0,378,34,413
5/23/2018,0,0,299,25,324
5/24/2018,0,0,301,27,328
5/25/2018,0,0,287,28,315
5/26/2018,0,0,300,29,329
5/27/2018,0,0,432,25,457
5/28/2018,0,0,285,25,310
5/29/2018,0,0,283,33,316
5/30/2018,0,0,269,28,297
5/31/2018,0,0,481,27,508
6/01/2018,0,0,397,37,434
6/02/2018,1,0,235,22,258
6/03/2018,0,0,158,39,197
6/04/2018,0,0,374,27,401
6/05/2018,0,0,376,33,409
6/06/2018,0,0,396,27,423
6/07/2018,0,0,265,33,298
6/08/2018,0,0,306,41,347
6/09/2018,0,0,173,26,199
6/10/2018,0,0,220,31,251
6/11/2018,4,0,255,36,295
6/12/2018,0,0,225,32,257
6/13/2018,0,0,326,35,361
6/14/2018,0,0,182,33,215
6/15/2018,0,0,293,31,324
6/16/2018,0,0,160,28,188
6/17/2018,0,0,123,25,148
6/18/2018,0,0,529,43,572
6/19/2018,0,0,488,36,524
6/20/2018,0,0,0,0,0
6/21/2018,0,0,0,0,0
6/22/2018,0,0,0,0,0
6/23/2018,0,0,0,0,0
6/24/2018,0,0,0,0,0
6/25/2018,0,0,0,0,0
6/26/2018,0,0,0,0,0
6/27/2018,0,0,0,0,0
6/28/2018,0,0,0,0,0
6/29/2018,0,0,0,0,0
6/30/2018,1,0,0,0,1
7/01/2018,0,0,0,0,0
7/02/2018,0,0,0,0,0
7/03/2018,0,0,0,0,0
7/04/2018,0,0,0,0,0
7/05/2018,0,0,0,0,0
7/06/2018,0,0,0,0,0
7/07/2018,0,0,0,0,0
7/08/2018,0,0,0,0,0
7/09/2018,0,0,0,0,0
7/10/2018,0,0,0,0,0
7/11/2018,0,0,0,0,0
7/12/2018,0,0,0,0,0
7/13/2018,0,0,0,0,0
7/14/2018,0,0,0,0,0
7/15/2018,0,0,0,0,0
7/16/2018,1,0,0,0,1
7/17/2018,0,0,0,0,0
7/18/2018,0,0,0,0,0
7/19/2018,0,0,0,0,0
7/20/2018,1,0,0,0,1
7/21/2018,1,0,0,0,1
7/22/2018,1,0,0,0,1
7/23/2018,0,0,0,0,0
7/24/2018,0,0,0,0,0
7/25/2018,1,0,0,0,1
7/26/2018,1,0,0,0,1
7/27/2018,0,0,0,0,0
7/28/2018,0,0,0,0,0
7/29/2018,0,0,0,0,0
7/30/2018,0,0,0,0,0
7/31/2018,0,0,0,0,0
8/01/2018,0,0,0,0,0
8/02/2018,0,0,0,0,0
8/03/2018,0,0,0,0,0
8/04/2018,0,0,0,0,0
8/05/2018,0,0,0,0,0
8/06/2018,0,0,0,0,0
8/07/2018,0,0,0,0,0
8/08/2018,0,0,0,0,0
8/09/2018,0,0,0,0,0
8/10/2018,1,0,0,0,1
8/11/2018,0,0,0,0,0
8/12/2018,0,0,0,0,0
8/13/2018,0,0,0,0,0
8/14/2018,0,0,0,0,0
8/15/2018,0,0,0,0,0
8/16/2018,0,0,0,0,0
8/17/2018,1,0,0,0,1
8/18/2018,0,0,0,0,0
8/19/2018,0,0,0,0,0
8/20/2018,0,0,0,0,0
8/21/2018,0,0,0,0,0
8/22/2018,0,0,0,0,0
8/23/2018,0,0,0,0,0
8/24/2018,0,0,0,0,0
8/25/2018,0,0,0,0,0
8/26/2018,0,0,0,0,0
8/27/2018,0,0,0,0,0
8/28/2018,0,0,0,0,0
8/29/2018,0,0,0,0,0
8/30/2018,0,0,0,0,0
8/31/2018,0,0,0,0,0
9/01/2018,0,0,0,0,0
9/02/2018,0,0,0,0,0
9/03/2018,0,0,0,0,0
9/04/2018,1,0,0,0,1
9/05/2018,0,0,0,0,0
9/06/2018,0,0,0,0,0
9/07/2018,0,0,0,0,0
9/08/2018,0,0,0,0,0
9/09/2018,0,0,0,0,0
9/10/2018,0,0,0,0,0
9/11/2018,6,0,0,0,6
9/12/2018,1,0,0,0,1
9/13/2018,0,0,0,0,0
9/14/2018,0,0,0,0,0
9/15/2018,0,0,0,0,0
9/16/2018,0,0,0,0,0
9/17/2018,1,0,0,0,1
9/18/2018,0,0,0,0,0
9/19/2018,0,0,0,0,0
9/20/2018,0,0,0,0,0
9/21/2018,0,0,0,0,0
9/22/2018,0,0,0,0,0
9/23/2018,0,0,0,0,0
9/24/2018,0,0,0,0,0
9/25/2018,0,0,0,0,0
9/26/2018,0,0,0,0,0
9/27/2018,0,0,0,0,0
9/28/2018,1,0,0,0,1
9/29/2018,0,0,0,0,0
9/30/2018,0,0,0,0,0
10/01/2018,0,0,0,0,0
10/02/2018,0,0,0,0,0
10/03/2018,0,0,0,0,0
10/04/2018,0,0,0,0,0
10/05/2018,0,0,0,0,0
10/06/2018,1,0,0,0,1
10/07/2018,0,0,0,0,0
10/08/2018,0,0,0,0,0
10/09/2018,0,0,0,0,0
10/10/2018,0,0,0,0,0
10/11/2018,0,0,0,0,0
10/12/2018,0,0,0,0,0
10/13/2018,0,0,0,0,0
10/14/2018,1,0,0,0,1
10/15/2018,0,0,0,0,0
10/16/2018,0,0,0,0,0
10/17/2018,0,0,0,0,0
10/18/2018,0,0,0,0,0
10/19/2018,0,0,0,0,0
10/20/2018,0,0,0,0,0
10/21/2018,0,0,0,0,0
10/22/2018,2,0,0,0,2
10/23/2018,0,0,0,0,0
10/24/2018,0,0,0,0,0
10/25/2018,0,0,0,0,0
10/26/2018,2,0,0,0,2
10/27/2018,0,0,0,0,0
10/28/2018,0,0,0,0,0
10/29/2018,0,0,0,0,0
10/30/2018,0,0,0,0,0
10/31/2018,0,0,0,0,0
11/01/2018,0,0,0,0,0
11/02/2018,0,0,0,0,0
11/03/2018,0,0,0,0,0
11/04/2018,0,0,0,0,0
11/05/2018,0,0,0,0,0
11/06/2018,0,0,0,0,0
11/07/2018,1,0,0,0,1
11/08/2018,0,0,0,0,0
11/09/2018,0,0,0,0,0
11/10/2018,0,0,0,0,0
11/11/2018,0,0,0,0,0
11/12/2018,0,0,0,0,0
11/13/2018,0,0,0,0,0
11/14/2018,1,0,0,0,1
11/15/2018,0,0,0,0,0
11/16/2018,0,0,0,0,0
11/17/2018,0,0,0,0,0
11/18/2018,0,0,0,0,0
11/19/2018,0,0,0,0,0
11/20/2018,0,0,0,0,0
11/21/2018,0,0,0,0,0
11/22/2018,0,0,0,0,0
11/23/2018,0,0,0,0,0
11/24/2018,0,0,0,0,0
11/25/2018,7,0,0,0,7
11/26/2018,0,0,0,0,0
11/27/2018,0,0,0,0,0
11/28/2018,0,0,0,0,0
11/29/2018,0,0,0,0,0
11/30/2018,0,0,0,0,0
12/01/2018,1,0,0,0,1
12/02/2018,0,0,0,0,0
12/03/2018,5,0,0,0,5
12/04/2018,0,0,0,0,0
12/05/2018,1,0,0,0,1
12/06/2018,0,0,0,0,0
12/07/2018,1,0,0,0,1
12/08/2018,0,0,0,0,0
12/09/2018,0,0,0,0,0
12/10/2018,0,0,0,0,0
12/11/2018,0,0,0,0,0
12/12/2018,0,0,0,0,0
12/13/2018,1,0,0,0,1
12/14/2018,1,0,0,0,1
12/15/2018,0,0,0,0,0
12/16/2018,0,0,0,0,0
12/17/2018,0,0,0,0,0
12/18/2018,0,0,0,0,0
12/19/2018,0,0,0,0,0
12/20/2018,0,0,0,0,0
12/21/2018,0,0,0,0,0
12/22/2018,0,0,0,0,0
12/23/2018,1,0,0,0,1
12/24/2018,0,0,0,0,0
12/25/2018,0,0,0,0,0
12/26/2018,0,0,0,0,0
12/27/2018,2,0,0,0,2
12/28/2018,0,0,0,0,0
12/29/2018,0,0,0,0,0
12/30/2018,0,0,0,0,0
12/31/2018,0,0,0,0,0
1/01/2019,3,0,0,0,3
1/02/2019,0,0,0,0,0
1/03/2019,0,0,0,0,0
1/04/2019,0,0,0,0,0
1/05/2019,0,0,0,0,0
1/06/2019,1,0,0,0,1
1/07/2019,0,0,0,0,0
1/08/2019,0,0,0,0,0
1/09/2019,0,0,0,0,0
1/10/2019,0,0,0,0,0
1/11/2019,0,0,0,0,0
1/12/2019,0,0,0,0,0
1/13/2019,1,0,0,0,1
1/14/2019,0,0,0,0,0
1/15/2019,0,0,0,0,0
1/16/2019,0,0,0,0,0
1/17/2019,0,0,0,0,0
1/18/2019,0,0,0,0,0
1/19/2019,0,0,0,0,0
1/20/2019,0,0,0,0,0
1/21/2019,1,0,0,0,1
1/22/2019,0,0,0,0,0
1/23/2019,0,0,0,0,0
1/24/2019,0,0,0,0,0
1/25/2019,0,0,0,0,0
1/26/2019,2,0,0,0,2
1/27/2019,0,0,0,0,0
1/28/2019,0,0,0,0,0
1/29/2019,0,0,0,0,0
1/30/2019,0,0,0,0,0
1/31/2019,0,0,0,0,0
2/01/2019,1,0,0,0,1
2/02/2019,0,0,0,0,0
2/03/2019,0,0,0,0,0
2/04/2019,0,0,0,0,0
2/05/2019,0,0,0,0,0
2/06/2019,0,0,0,0,0
2/07/2019,2,0,0,0,2
2/08/2019,0,0,0,0,0
2/09/2019,0,0,0,0,0
2/10/2019,0,0,0,0,0
2/11/2019,0,0,0,0,0
2/12/2019,0,0,0,0,0
2/13/2019,0,0,0,0,0
2/14/2019,0,0,0,0,0
2/15/2019,0,0,0,0,0
2/16/2019,0,0,0,0,0
2/17/2019,0,0,0,0,0
2/18/2019,0,0,0,0,0
2/19/2019,0,0,0,0,0
2/20/2019,0,0,0,0,0
2/21/2019,0,0,0,0,0
2/22/2019,0,0,0,0,0
2/23/2019,0,0,0,0,0
2/24/2019,0,0,0,0,0
